was_delayed,daily_rainfall,did_rain,Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Destination Airport ,Scheduled Departure Time,event_id
False,2.741,True,US,12/06/2014,738,N957UW,PHL,17:30,20191118194412666
False,1.833,True,US,04/27/2014,586,N647AW,PHX,19:00,20191118194405892
False,0.705,False,US,01/13/2014,1896,N955UW,PHL,16:30,20191118194403561
False,0.27,False,US,11/03/2014,1776,N955UW,PHL,14:30,20191118194406184
True,2.503,False,US,03/17/2014,2030,N742PS,PHL,11:30,20191118194408392
False,2.197,False,US,12/14/2014,2131,N762US,DCA,21:00,20191118194413067
False,1.225,True,US,09/02/2014,435,N640AW,PHX,06:15,20191118194415265
False,0.548,False,US,10/20/2014,2113,N825AW,DCA,12:00,20191118194402454
True,2.938,False,US,05/21/2014,1886,N958UW,PHL,20:30,20191118194411837
True,1.63,False,US,06/09/2014,722,N947UW,PHL,18:30,20191118194414039
False,1.141,False,US,05/05/2014,752,N561UW,CLT,08:05,20191118194410965
False,1.964,False,US,08/12/2014,1904,N733UW,CLT,05:00,20191118194409762
False,1.692,False,US,04/10/2014,2137,N947UW,LGA,07:00,20191118194405056
False,0.494,False,US,06/25/2014,2127,N807AW,DCA,19:00,20191118194414948
False,0.892,False,US,03/11/2014,2159,N965UW,LGA,18:00,20191118194408110
False,1.267,False,US,06/03/2014,2151,N953UW,LGA,14:00,20191118194413773
False,1.511,False,US,07/13/2014,893,N157UW,CLT,09:45,20191118194417412
False,1.311,False,US,02/11/2014,2103,N768US,DCA,06:00,20191118194400502
False,2.004,True,US,11/17/2014,647,N658AW,PHX,06:05,20191118194406910
False,0.705,True,US,12/07/2014,647,N656AW,PHX,06:05,20191118194412685
False,0.855,True,US,02/05/2014,2109, ,DCA,09:00,20191118194400206
False,0.926,False,US,07/21/2014,2139,N955UW,LGA,08:00,20191118194417868
False,1.249,False,US,09/14/2014,2147,N953UW,LGA,12:00,20191118194415934
True,0.58,False,US,07/09/2014,2159,N948UW,LGA,18:00,20191118194417247
False,2.577,False,US,03/24/2014,1791,N179UW,CLT,12:45,20191118194408755
False,0.944,True,US,12/01/2014,1875,N108UW,CLT,12:50,20191118194412383
True,0.672,False,US,07/26/2014,1787,N818AW,CLT,14:40,20191118194418141
False,0.015,False,US,06/23/2014,2115,N834AW,DCA,13:00,20191118194414820
False,2.215,False,US,03/01/2014,2030,N753US,PHL,11:30,20191118194407574
False,1.535,True,US,11/06/2014,1904,N714US,CLT,05:00,20191118194406374
False,1.595,False,US,10/06/2014,456,N183UW,CLT,08:10,20191118194401678
False,0.662,True,US,02/21/2014,2149, ,LGA,13:00,20191118194401059
False,1.82,False,US,09/19/2014,1904,N722US,CLT,05:00,20191118194416198
False,2.519,False,US,08/14/2014,2145,N952UW,LGA,11:00,20191118194409914
False,0.501,True,US,05/01/2014,2139,N711UW,LGA,08:00,20191118194410817
True,0.235,False,US,05/04/2014,740,N958UW,PHL,15:30,20191118194410921
True,2.239,False,US,08/12/2014,2141,N951UW,LGA,09:00,20191118194409789
False,0.029,False,US,09/22/2014,722,N958UW,PHL,18:30,20191118194416312
False,1.531,False,US,05/09/2014,2151,N951UW,LGA,14:00,20191118194411252
False,0.507,True,US,10/24/2014,2103,N818AW,DCA,07:00,20191118194402693
False,2.275,False,US,06/06/2014,2089,N945UW,PHL,17:00,20191118194413931
False,0.808,True,US,01/14/2014,2111,N742PS,DCA,10:00,20191118194403627
False,1.708,False,US,09/18/2014,2123,N837AW,DCA,17:00,20191118194416157
False,1.451,False,US,08/19/2014,2161,N953UW,LGA,19:00,20191118194410173
False,2.92,False,US,07/24/2014,2129,N762US,DCA,20:00,20191118194418047
False,2.145,False,US,08/20/2014,2155,N953UW,LGA,16:00,20191118194410230
False,1.017,False,US,09/10/2014,1827,N961UW,PHL,11:30,20191118194415707
False,1.129,False,US,05/14/2014,2141,N950UW,LGA,09:00,20191118194411494
False,2.736,False,US,02/26/2014,2159,N961UW,LGA,18:00,20191118194401306
False,1.095,True,US,11/13/2014,2159,N956UW,LGA,18:00,20191118194406776
False,1.305,True,US,08/06/2014,2141,N967UW,LGA,09:00,20191118194409474
False,1.514,False,US,11/30/2014,1793,N959UW,PHL,07:30,20191118194407526
False,1.479,False,US,04/20/2014,740,N963UW,PHL,15:30,20191118194405530
True,2.98,False,US,01/16/2014,2117,N738US,DCA,13:00,20191118194403748
False,1.791,True,US,12/28/2014,1909,N963UW,PHL,05:30,20191118194413545
True,2.64,True,US,02/14/2014,1701,N956UW,PHL,08:30,20191118194400663
False,1.668,True,US,10/11/2014,2013,N170US,CLT,11:10,20191118194401998
False,0.937,True,US,03/10/2014,582,N804AW,PHX,06:10,20191118194407994
False,2.004,False,US,07/21/2014,2161,N945UW,LGA,19:00,20191118194417879
False,1.463,False,US,01/08/2014,740,N954UW,PHL,15:30,20191118194403304
True,0.453,True,US,07/28/2014,2123,N757UW,DCA,17:00,20191118194418237
False,1.598,True,US,06/04/2014,2101,N828AW,DCA,06:00,20191118194413808
False,0.227,False,US,11/10/2014,2135,N965UW,LGA,06:45,20191118194406585
False,1.642,False,US,07/17/2014,2139,N954UW,LGA,08:00,20191118194417675
False,2.925,True,US,05/17/2014,2105,N949UW,DCA,08:00,20191118194411649
False,1.868,False,US,10/05/2014,447,N572UW,CLT,12:50,20191118194401636
True,2.61,True,US,07/07/2014,1755,N949UW,PHL,19:30,20191118194417082
False,2.81,True,US,04/04/2014,2117,N738US,DCA,14:00,20191118194404737
False,0.793,False,US,06/18/2014,2033,N951UW,PHL,12:30,20191118194414555
False,2.591,True,US,06/05/2014,2115,N831AW,DCA,13:00,20191118194413877
False,1.387,True,US,02/18/2014,1946,N198UW,CLT,06:00,20191118194400854
False,0.144,False,US,04/25/2014,2145,N947UW,LGA,11:00,20191118194405855
False,2.788,True,US,11/26/2014,647,N650AW,PHX,06:05,20191118194407392
False,0.446,False,US,06/06/2014,2135,N958UW,LGA,06:45,20191118194413949
True,0.76,False,US,07/25/2014,1938,N742PS,CLT,17:05,20191118194418091
False,1.4,False,US,04/24/2014,2139,N700UW,LGA,08:00,20191118194405791
False,2.217,True,US,04/08/2014,2129,N762US,DCA,20:00,20191118194404931
False,1.228,True,US,02/05/2014,2083, ,CLT,12:45,20191118194400202
False,0.576,False,US,05/14/2014,538,N810AW,PHX,10:00,20191118194411447
False,1.625,True,US,12/07/2014,738,N946UW,PHL,17:30,20191118194412688
False,0.248,True,US,01/29/2014,2131,N770UW,DCA,20:00,20191118194404389
False,0.664,False,US,10/17/2014,2113,N741UW,DCA,12:00,20191118194402327
False,1.572,True,US,03/10/2014,1739, ,PHL,05:30,20191118194408004
False,2.63,False,US,03/05/2014,2117,N708UW,DCA,13:00,20191118194407777
False,0.409,True,US,02/05/2014,1938,N766US,CLT,17:08,20191118194400197
False,1.733,False,US,10/10/2014,855,N654AW,PHX,10:10,20191118194401930
False,0.375,False,US,05/20/2014,1819,N945UW,PHL,10:30,20191118194411774
False,1.82,False,US,06/27/2014,2155,N965UW,LGA,16:00,20191118194415087
False,1.552,False,US,08/04/2014,2115,N802AW,DCA,13:00,20191118194409339
False,2.084,True,US,05/16/2014,1904,N715UW,CLT,05:00,20191118194411589
False,1.767,False,US,09/10/2014,1886,N832AW,PHL,20:30,20191118194415708
False,2.765,False,US,07/06/2014,1938,N750UW,CLT,17:05,20191118194417043
False,1.37,False,US,10/27/2014,1909,N951UW,PHL,05:30,20191118194402811
False,1.675,False,US,06/12/2014,2089,N967UW,PHL,17:00,20191118194414243
False,1.282,False,US,11/10/2014,681,N537UW,PHX,16:20,20191118194406546
False,0.037,True,US,10/11/2014,603,N642AW,PHX,16:35,20191118194401986
False,2.757,False,US,03/16/2014,1852,N722US,CLT,05:00,20191118194408338
False,1.13,False,US,05/13/2014,2051,N171US,PHL,07:00,20191118194411411
False,1.383,True,US,10/29/2014,456,N534UW,CLT,08:10,20191118194402911
False,1.334,False,US,10/06/2014,2155, ,LGA,16:00,20191118194401734
False,0.823,True,US,07/28/2014,2103,N765US,DCA,07:00,20191118194418227
False,1.645,False,US,03/22/2014,817,N157UW,PHL,06:30,20191118194408680
False,0.755,False,US,07/30/2014,1918,N961UW,PHL,17:00,20191118194418343
False,1.583,False,US,04/24/2014,1809,N953UW,PHL,09:30,20191118194405759
False,0.062,False,US,10/19/2014,738,N961UW,PHL,17:30,20191118194402385
False,1.706,False,US,05/07/2014,2113,N815AW,DCA,12:00,20191118194411111
False,1.301,True,US,04/04/2014,2115,N749US,DCA,13:00,20191118194404736
False,1.447,True,US,10/08/2014,647,N667AW,PHX,06:15,20191118194401802
False,1.192,True,US,03/12/2014,2129,N737US,DCA,20:00,20191118194408155
False,2.091,True,US,03/12/2014,740,N946UW,PHL,15:30,20191118194408120
False,0.265,False,US,11/11/2014,1809,N951UW,PHL,09:30,20191118194406616
False,2.874,False,US,06/12/2014,2127,N837AW,DCA,19:00,20191118194414257
True,1.544,True,US,06/17/2014,1819,N961UW,PHL,10:30,20191118194414486
False,0.647,False,US,09/28/2014,1885,N762US,CLT,17:05,20191118194416646
False,0.209,False,US,06/09/2014,2129,N805AW,DCA,20:00,20191118194414075
False,2.117,False,US,08/01/2014,2113,N767UW,DCA,12:00,20191118194409208
True,1.76,False,US,09/23/2014,738,N770UW,PHL,17:30,20191118194416371
False,2.43,False,US,05/21/2014,1819,N959UW,PHL,10:30,20191118194411835
False,0.147,False,US,12/16/2014,2127,N809AW,DCA,19:00,20191118194413168
False,0.957,False,US,10/13/2014,522,N655AW,CLT,09:45,20191118194402049
False,1.015,False,US,04/17/2014,2133,N948UW,LGA,06:00,20191118194405423
True,1.216,False,US,06/18/2014,2163,N965UW,LGA,20:00,20191118194414589
False,1.381,False,US,11/21/2014,1709,N578UW,CLT,06:05,20191118194407158
False,0.456,False,US,08/21/2014,1755,N959UW,PHL,19:30,20191118194410248
False,2.992,True,US,11/26/2014,1701,N951UW,PHL,08:30,20191118194407400
False,1.678,False,US,08/14/2014,800,N539UW,CLT,19:10,20191118194409874
False,1.803,False,US,06/29/2014,2127,N754UW,DCA,19:00,20191118194415151
False,0.614,False,US,02/24/2014,1904,N755US,CLT,05:00,20191118194401154
False,0.06,False,US,01/31/2014,2119,N714US,DCA,14:00,20191118194404499
False,1.238,False,US,11/05/2014,647,N664AW,PHX,06:15,20191118194406295
True,0.367,True,US,05/28/2014,2089,N963UW,PHL,17:00,20191118194412183
True,1.176,True,US,12/10/2014,2127,N760US,DCA,19:00,20191118194412874
False,1.842,False,US,07/24/2014,2056,N161UW,CLT,12:50,20191118194418032
False,1.805,False,US,04/20/2014,1852,N711UW,CLT,05:00,20191118194405539
False,1.298,False,US,08/10/2014,445,N561UW,CLT,06:10,20191118194409637
False,1.633,False,US,09/08/2014,1776,N961UW,PHL,14:30,20191118194415586
False,0.201,True,US,10/22/2014,1819,N954UW,PHL,10:30,20191118194402557
False,1.44,False,US,04/21/2014,2059,N161UW,CLT,11:13,20191118194405592
False,1.71,False,US,09/24/2014,2163,N965UW,LGA,20:00,20191118194416482
False,1.626,False,US,10/15/2014,2105,N837AW,DCA,08:00,20191118194402200
False,0.93,False,US,06/11/2014,1819,N950UW,PHL,10:30,20191118194414172
False,0.531,True,US,10/29/2014,2143,N958UW,LGA,10:00,20191118194402961
False,2.529,False,US,06/11/2014,2149,N944UW,LGA,13:00,20191118194414207
False,1.154,True,US,05/23/2014,2070,N558UW,CLT,12:45,20191118194411969
False,0.687,False,US,10/28/2014,1886,N812AW,PHL,20:30,20191118194402869
False,0.957,False,US,07/11/2014,2051,N519UW,PHL,07:00,20191118194417340
False,1.834,False,US,06/08/2014,447,N156UW,CLT,12:50,20191118194413992
False,1.608,True,US,04/23/2014,1817,N956UW,PHL,17:00,20191118194405699
False,1.583,True,US,01/21/2014,2157, ,LGA,17:00,20191118194403987
False,0.75,True,US,12/23/2014,2137,N961UW,LGA,07:00,20191118194413446
False,1.654,False,US,02/25/2014,2051, ,PHL,06:30,20191118194401218
False,2.168,True,US,04/04/2014,2113,N717UW,DCA,12:00,20191118194404735
False,0.427,False,US,05/11/2014,1799,N562UW,CLT,14:35,20191118194411296
False,2.494,False,US,04/01/2014,2119,N746UW,DCA,15:00,20191118194404555
False,1.857,True,US,03/31/2014,2111,N714US,DCA,11:00,20191118194409146
False,0.089,True,US,03/10/2014,2159,N949UW,LGA,18:00,20191118194408050
True,1.592,True,US,12/08/2014,2123,N835AW,DCA,17:00,20191118194412757
False,1.626,False,US,07/13/2014,2119,N802AW,DCA,15:00,20191118194417429
False,0.099,False,US,11/16/2014,2117,N763US,DCA,14:00,20191118194406893
False,2.371,False,US,07/25/2014,800,N507AY,CLT,19:10,20191118194418077
False,1.823,False,US,06/15/2014,752,N546UW,CLT,08:05,20191118194414373
False,1.115,False,US,06/18/2014,2115,N768US,DCA,13:00,20191118194414565
True,0.309,True,US,01/10/2014,1896,N954UW,PHL,16:30,20191118194403436
True,0.887,False,US,03/24/2014,1788,N575UW,CLT,19:10,20191118194408754
True,0.292,False,US,08/29/2014,1703,N959UW,PHL,13:30,20191118194410677
False,0.703,True,US,04/27/2014,728,N946UW,PHL,17:30,20191118194405895
False,2.096,False,US,09/27/2014,653,N672AW,PHX,13:15,20191118194416609
False,0.186,False,US,09/09/2014,714,N963UW,PHL,15:30,20191118194415636
False,0.596,False,US,11/18/2014,2159,N957UW,LGA,18:00,20191118194407022
False,2.981,True,US,03/31/2014,2121,N714US,DCA,16:00,20191118194409151
True,1.893,False,US,04/21/2014,2115,N732US,DCA,13:00,20191118194405600
False,2.026,True,US,03/10/2014,657,N602AW,CLT,09:40,20191118194407996
False,0.368,True,US,03/28/2014,1917,N565UW,PHL,07:30,20191118194409007
False,1.208,True,US,12/11/2014,2153,N949UW,LGA,15:00,20191118194412946
False,2.963,False,US,04/03/2014,601,N647AW,PHX,16:20,20191118194404642
False,2.856,False,US,05/11/2014,2119,N746UW,DCA,15:00,20191118194411312
False,0.62,False,US,03/03/2014,2157,N967UW,LGA,17:00,20191118194407679
False,2.361,True,US,03/13/2014,2111,N749US,DCA,11:00,20191118194408208
False,0.479,False,US,08/29/2014,2145,N957UW,LGA,11:00,20191118194410716
False,0.597,True,US,07/14/2014,752,N192UW,CLT,08:05,20191118194417453
False,0.486,True,US,01/10/2014,2103,N763US,DCA,06:00,20191118194403444
False,1.425,True,US,08/31/2014,1700,N738US,PHL,08:30,20191118194410757
False,1.199,False,US,06/16/2014,2070,N575UW,CLT,12:50,20191118194414434
False,2.926,True,US,02/21/2014,2151, ,LGA,14:00,20191118194401060
False,2.064,True,US,01/10/2014,672,N534UW,PHL,07:30,20191118194403420
False,0.604,False,US,02/07/2014,728,N948UW,PHL,17:30,20191118194400301
False,0.239,True,US,12/02/2014,2139,N959UW,LGA,08:00,20191118194412468
False,1.782,True,US,07/04/2014,1938, ,CLT,17:05,20191118194416990
False,0.115,True,US,02/14/2014,2137,N949UW,LGA,07:00,20191118194400699
False,1.654,True,US,02/05/2014,1799, ,CLT,14:35,20191118194400190
False,1.728,False,US,08/26/2014,1701,N961UW,PHL,08:30,20191118194410492
False,1.357,False,US,07/11/2014,2145,N955UW,LGA,11:00,20191118194417364
False,1.097,False,US,10/30/2014,647,N642AW,PHX,06:15,20191118194402975
False,2.85,True,US,04/30/2014,2145,N948UW,LGA,11:00,20191118194406102
False,0.32,True,US,07/16/2014,629,N549UW,PHX,16:30,20191118194417568
False,2.747,True,US,10/08/2014,1819,N957UW,PHL,10:30,20191118194401816
False,2.569,False,US,02/12/2014,2121,N714US,DCA,15:00,20191118194400569
False,1.788,False,US,04/18/2014,601,N647AW,PHX,16:20,20191118194405442
False,2.099,False,US,10/09/2014,2111,N766US,DCA,11:00,20191118194401895
False,1.288,True,US,01/19/2014,728,N950UW,PHL,17:30,20191118194403863
False,2.94,True,US,12/11/2014,1909,N822AW,PHL,05:30,20191118194412913
False,2.884,True,US,11/27/2014,2107,N824AW,DCA,09:00,20191118194407455
False,2.604,False,US,01/22/2014,2030,N716UW,PHL,11:30,20191118194404014
False,2.464,False,US,05/07/2014,1809,N954UW,PHL,09:30,20191118194411093
False,2.625,False,US,07/25/2014,643,N642AW,CLT,09:45,20191118194418070
False,2.312,False,US,10/30/2014,2117,N835AW,DCA,14:00,20191118194403009
False,1.586,False,US,09/25/2014,2151,N958UW,LGA,14:00,20191118194416538
False,1.461,False,US,08/30/2014,672,N161UW,PHL,07:30,20191118194410729
False,1.211,False,US,02/28/2014,2125,N724UW,DCA,17:00,20191118194401409
False,2.722,False,US,05/29/2014,2109,N830AW,DCA,10:00,20191118194412249
False,2.447,False,US,02/17/2014,824,N945UW,PHL,12:30,20191118194400784
False,2.975,False,US,03/11/2014,2131,N750UW,DCA,21:00,20191118194408096
False,2.721,False,US,03/01/2014,582,N833AW,PHX,06:10,20191118194407560
True,1.668,True,US,12/03/2014,2151,N953UW,LGA,14:00,20191118194412533
False,2.17,False,US,11/25/2014,1788,N559UW,CLT,19:10,20191118194407343
False,2.909,False,US,11/22/2014,601,N664AW,PHX,16:20,20191118194407206
False,2.332,False,US,04/24/2014,2159,N945UW,LGA,18:00,20191118194405801
False,0.286,True,US,07/03/2014,722, ,PHL,18:30,20191118194416921
False,1.175,False,US,04/28/2014,2153,N957UW,LGA,15:00,20191118194405986
False,1.828,True,US,07/28/2014,2056,N171US,CLT,12:50,20191118194418225
False,2.991,False,US,08/28/2014,2129,N755US,DCA,20:00,20191118194410647
False,0.273,False,US,03/23/2014,2001,N103US,PHL,07:30,20191118194408716
False,0.366,True,US,05/30/2014,2135,N947UW,LGA,06:45,20191118194412323
False,2.413,True,US,04/05/2014,2101,N967UW,DCA,06:00,20191118194404780
False,0.817,False,US,10/18/2014,2013,N111US,CLT,11:10,20191118194402368
False,0.292,False,US,05/25/2014,1848,N958UW,PHL,09:30,20191118194412039
True,0.371,False,US,11/11/2014,2157,N949UW,LGA,17:00,20191118194406655
False,1.943,True,US,03/13/2014,543,N832AW,PHL,07:00,20191118194408173
False,1.904,False,US,01/31/2014,2111,N757UW,DCA,10:00,20191118194404495
False,2.249,False,US,05/03/2014,601,N654AW,PHX,16:20,20191118194410893
False,1.333,True,US,12/22/2014,2121,N952UW,DCA,16:00,20191118194413403
False,2.376,False,US,12/15/2014,2145,N947UW,LGA,11:00,20191118194413121
True,0.495,False,US,05/05/2014,800,N190UW,CLT,19:10,20191118194410966
False,2.831,True,US,02/18/2014,1938,N750UW,CLT,17:08,20191118194400853
False,0.728,True,US,07/03/2014,2133,N953UW,LGA,06:00,20191118194416958
True,2.686,False,US,07/15/2014,2056,N174US,CLT,12:50,20191118194417532
False,0.252,False,US,08/14/2014,2131,N749US,DCA,21:00,20191118194409907
False,0.891,True,US,04/05/2014,2051,N180US,PHL,06:30,20191118194404777
False,1.883,False,US,09/03/2014,1799,N184US,CLT,14:40,20191118194415338
False,0.689,False,US,10/21/2014,1755,N956UW,PHL,17:00,20191118194402491
False,1.879,False,US,09/03/2014,672,N186US,PHL,07:30,20191118194415328
True,0.998,False,US,06/19/2014,738,N835AW,PHL,17:30,20191118194414599
False,1.782,False,US,10/31/2014,1847,N953UW,PHL,11:30,20191118194403051
False,2.466,False,US,09/15/2014,2125,N763US,DCA,18:00,20191118194415979
False,0.32,False,US,09/23/2014,2033,N961UW,PHL,12:30,20191118194416388
False,2.491,True,US,02/18/2014,2141, ,LGA,09:00,20191118194400876
False,2.828,False,US,01/24/2014,2111,N770UW,DCA,10:00,20191118194404142
False,2.645,False,US,06/30/2014,2125,N803AW,DCA,18:00,20191118194415202
True,1.746,False,US,11/18/2014,510,N669AW,PHX,09:40,20191118194406966
False,2.922,False,US,11/19/2014,2153,N954UW,LGA,15:00,20191118194407079
False,2.297,False,US,03/09/2014,2145,N944UW,LGA,11:00,20191118194407987
True,1.049,True,US,11/14/2014,1875,N112US,CLT,12:50,20191118194406799
False,0.877,False,US,01/31/2014,601,N651AW,PHX,16:20,20191118194404465
False,2.454,True,US,07/05/2014,2053,N154UW,CLT,08:05,20191118194417019
False,2.337,True,US,12/23/2014,529,N667AW,CLT,09:35,20191118194413417
False,2.634,False,US,07/25/2014,800,N507AY,CLT,19:10,20191118194418077
False,1.241,True,US,03/15/2014,1826,N191UW,PHL,07:30,20191118194408311
True,1.108,False,US,07/09/2014,1938,N737US,CLT,17:05,20191118194417214
False,2.303,True,US,06/10/2014,672,N183UW,PHL,07:30,20191118194414098
False,0.83,True,US,04/13/2014,2105,N733UW,DCA,08:00,20191118194405177
False,1.595,False,US,06/12/2014,2137,N944UW,LGA,07:00,20191118194414262
False,2.56,True,US,03/15/2014,1774,N700UW,CLT,19:10,20191118194408308
True,0.057,False,US,04/28/2014,1819,N949UW,PHL,10:30,20191118194405949
False,1.948,False,US,02/24/2014,1862,N556UW,CLT,08:00,20191118194401150
False,2.567,False,US,10/10/2014,1700,N198UW,CLT,11:10,20191118194401931
False,0.45,False,US,08/01/2014,2105,N768US,DCA,08:00,20191118194409204
False,0.181,False,US,07/24/2014,2131,N803AW,DCA,21:00,20191118194418048
